"A","K","Q","J","T","9","8","7","6","5","4","3","2","s","Wins_percent","Ties_percent","Total_percent","RANK"
0,0,0,0,1,0,0,0,0,1,0,0,0,0,4.95,3.43,8.38,158
0,0,0,0,0,0,0,1,0,0,0,1,0,0,4.85,2.37,7.22,159
0,0,0,0,1,0,0,0,0,0,1,0,0,0,4.8,3.24,8.04,160
0,0,0,0,1,0,0,0,0,0,0,1,0,0,4.72,3.02,7.74,161
0,0,0,0,1,0,0,0,0,0,0,0,1,0,4.67,2.85,7.52,162
0,0,0,0,0,1,0,0,0,0,1,0,0,0,4.48,2.82,7.3,163
0,0,0,0,0,1,0,0,0,0,0,1,0,0,4.37,2.62,6.99,164
0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.32,2.45,6.77,165
0,0,0,0,0,0,0,0,1,0,0,0,1,0,4.31,1.83,6.14,166
0,0,0,0,0,0,1,0,0,0,0,1,0,0,4.19,2.53,6.72,167
0,0,0,0,0,0,1,0,0,0,0,0,1,0,4.11,2.37,6.48,168
0,0,0,0,0,0,0,1,0,0,0,0,1,0,3.98,2.28,6.26,169
